"","Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
"128",2015-03-31 12:11:45,TRUE,FALSE,0,FALSE,2015-03-31 12:11:45,0
"129",2015-04-01 02:17:28,FALSE,FALSE,0,FALSE,2015-04-01 02:17:28,0
"130",2015-04-01 12:16:25,TRUE,FALSE,0,FALSE,2015-04-01 12:16:25,0
"131",2015-04-02 02:13:10,FALSE,FALSE,0,FALSE,2015-04-02 02:13:10,0
"132",2015-04-02 12:12:59,TRUE,FALSE,0,FALSE,2015-04-02 12:12:59,0
"133",2015-04-03 02:13:38,FALSE,FALSE,0,FALSE,2015-04-03 02:13:38,0
"134",2015-04-03 12:11:26,TRUE,FALSE,0,FALSE,2015-04-03 12:11:26,0
"135",2015-04-04 02:13:32,FALSE,FALSE,0,FALSE,2015-04-04 02:13:32,0
"136",2015-04-04 12:08:00,TRUE,FALSE,0,FALSE,2015-04-04 12:08:00,0
"137",2015-04-05 02:22:29,FALSE,FALSE,0,FALSE,2015-04-05 02:22:29,0
"138",2015-04-05 12:04:06,TRUE,FALSE,0,FALSE,2015-04-05 12:04:06,0
"139",2015-04-06 02:23:11,FALSE,FALSE,0,FALSE,2015-04-06 02:23:11,0
"140",2015-04-06 11:56:47,TRUE,FALSE,0,FALSE,2015-04-06 11:56:47,0
"141",2015-04-07 02:18:12,FALSE,FALSE,0,FALSE,2015-04-07 02:18:12,0
"142",2015-04-07 11:59:53,TRUE,FALSE,0,FALSE,2015-04-07 11:59:53,0
"143",2015-04-08 02:23:12,FALSE,FALSE,0,FALSE,2015-04-08 02:23:12,0
"144",2015-04-08 11:44:07,TRUE,FALSE,0,FALSE,2015-04-08 11:44:07,0
"145",2015-04-09 02:27:30,FALSE,FALSE,0,FALSE,2015-04-09 02:27:30,0
"146",2015-04-09 11:51:39,TRUE,FALSE,0,FALSE,2015-04-09 11:51:39,0
"147",2015-04-10 02:37:31,FALSE,FALSE,0,FALSE,2015-04-10 02:37:31,0
"148",2015-04-10 11:46:48,TRUE,FALSE,0,FALSE,2015-04-10 11:46:48,0
"149",2015-04-11 02:31:45,FALSE,FALSE,0,FALSE,2015-04-11 02:31:45,0
"150",2015-04-11 11:49:08,TRUE,FALSE,0,FALSE,2015-04-11 11:49:08,0
"151",2015-04-12 02:33:40,FALSE,FALSE,0,FALSE,2015-04-12 02:33:40,0
"152",2015-04-12 11:46:49,TRUE,FALSE,0,FALSE,2015-04-12 11:46:49,0
"153",2015-04-13 02:28:14,FALSE,FALSE,0,FALSE,2015-04-13 02:28:14,0
"154",2015-04-13 11:39:55,TRUE,FALSE,0,FALSE,2015-04-13 11:39:55,0
"155",2015-04-14 02:32:32,FALSE,FALSE,0,FALSE,2015-04-14 02:32:32,0
"156",2015-04-14 11:41:40,TRUE,FALSE,0,FALSE,2015-04-14 11:41:40,0
"157",2015-04-15 02:38:35,FALSE,FALSE,0,FALSE,2015-04-15 02:38:35,0
"158",2015-04-15 11:39:55,TRUE,FALSE,0,FALSE,2015-04-15 11:39:55,0
"159",2015-04-16 02:46:47,FALSE,FALSE,0,FALSE,2015-04-16 02:46:47,0
"160",2015-04-16 11:33:44,TRUE,FALSE,0,FALSE,2015-04-16 11:33:44,0
"161",2015-04-17 02:51:47,FALSE,FALSE,0,FALSE,2015-04-17 02:51:47,0
"162",2015-04-17 11:43:16,TRUE,FALSE,0,FALSE,2015-04-17 11:43:16,0
"163",2015-04-18 02:51:47,FALSE,FALSE,0,FALSE,2015-04-18 02:51:47,0
"164",2015-04-18 11:41:30,TRUE,FALSE,0,FALSE,2015-04-18 11:41:30,0
